Origin,Phorophyte,Tree_structure,Wood_density,Deciduousness,Rugosity,T_schiedeana,T_juncea,Pleopeltis_1,T_fasciculata,Scaphyglottis,T_caput-medusae,Prosthechea,Campylocentrum,E_barbeyanum,Asplenium,Pleurothallis,Polypodium,Vittaria,Phlebodium,F_jimenezii,F_costaricana,P_angularis,Catopsis,Hymenophyllum,Pteridophyta,E_oerstedii,Pleopeltis_2,Hylocereus,Encyclia,P_galioides,Anthurium,Monstera,Werauhia,F_pertusa,Guarianthe,Philodendron,Pitcairnia,Epiphyllum,Rhipsalis,Selenocerius,Maxillaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Delonix_regia_01,99.9,0.579,0.17,0.99,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Enterolobium_cyclocarpum_01,1405.7,0.39,0.17,0.92,4,17,33,0,0,6,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Enterolobium_cyclocarpum_02,960.4,0.39,0.17,0.97,62,121,0,31,4,26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Eugenia_01,46.0,0.65,0.125,0.97,3,3,13,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Eugenia_02,53.2,0.65,0.125,0.94,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Eugenia_03,81.5,0.65,0.125,0.95,0,9,14,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Eugenia_04,29.1,0.65,0.125,0.95,0,4,10,0,0,1,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Eugenia_05,36.3,0.65,0.125,0.97,0,5,14,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Ficus_benjamina_01,1437.7,0.459,0,0.97,97,40,2,43,0,5,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Ficus_costaricana_01,1427.6,0.377,0,0.98,0,0,15,0,0,0,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Ficus_jimenezii_01,803.0,0.44,0.08,0.98,6,83,21,38,7,4,16,1,8,30,0,0,0,0,0,0,8,1,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Ficus_jimenezii_02,1569.3,0.44,0.08,0.97,0,5,6,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Ficus_jimenezii_03,1151.3,0.44,0.08,0.96,17,12,1,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Inga_01,171.2,0.498,0,0.97,0,2,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Jacaranda_mimosifolia_01,94.4,0.49,0.29,0.95,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Jacaranda_mimosifolia_02,106.0,0.49,0.29,0.97,4,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Jacaranda_mimosifolia_03,628.7,0.49,0.29,0.87,94,124,3,49,0,20,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Jacaranda_mimosifolia_04,194.9,0.49,0.29,0.97,149,24,6,31,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Jacaranda_mimosifolia_05,395.7,0.49,0.29,0.93,4,8,23,0,0,15,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Lagerstroemia_speciosa_01,538.5,0.595,0.21,0.83,41,17,38,24,49,0,0,8,0,0,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Liquidambar_styraciflua_01,379.5,0.46,0,0.93,0,0,17,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Mauria_heterophylla_01,1773.2,0.31,0.04,0.98,23,7,0,11,3,0,10,2,7,0,0,3,11,10,1,3,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Mauria_heterophylla_02,2876.1,0.31,0.04,0.92,1,0,26,0,2,0,0,14,0,0,0,5,27,2,1,0,0,1,9,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Myroxylon_balsamum_01,574.5,0.776,0,0.87,0,52,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Pachira_quinata_01,1421.8,0.415,0.33,0.83,14,19,8,10,17,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Persea_americana_01,96.7,0.549,0,0.98,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native,Pouteria_fossicola_01,1318.9,0.855,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Spathodea_campanulata_01,672.7,0.351,0.08,0.97,53,48,30,41,8,0,22,0,7,11,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Spathodea_campanulata_02,214.8,0.351,0.08,0.94,58,18,16,5,0,0,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exotic,Spathodea_campanulata_03,1192.4,0.351,0.08,0.98,21,6,48,1,0,0,31,0,6,43,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
